Dataset,S1,S2,S3,S4,Total
Dataset A,0.4263081550598144,2.7296645641326904,0.0,0.0001237392425537,3.1560964584350586
Dataset A,0.4367916584014892,2.609418630599976,0.0,9.918212890625e-05,3.046309471130371
Dataset A,0.4902689456939697,2.7973172664642334,0.0,8.869171142578125e-05,3.287674903869629
Dataset A,0.5327415466308594,3.077719211578369,0.0,0.0001091957092285,3.610569953918457
Dataset A,0.5164189338684082,2.566420316696167,0.0,8.845329284667969e-05,3.082927703857422
Dataset A,0.473057746887207,2.914705991744995,0.0,0.0001056194305419,3.387869358062744
Dataset A,0.562035322189331,2.879474401473999,0.0,9.441375732421876e-05,3.4416041374206543
Dataset A,0.5025463104248047,2.25787091255188,0.0,9.03606414794922e-05,2.760507583618164
Dataset A,0.4482865333557129,2.179264068603516,0.0,9.083747863769533e-05,2.627641439437866
Dataset A,0.5227994918823242,2.839890956878662,0.0,9.441375732421876e-05,3.3627848625183105
Dataset D,0.4085369110107422,2.625033140182495,0.0,0.0002140998840332,3.0337841510772705
Dataset D,0.541515588760376,2.9074227809906006,0.0,9.822845458984376e-05,3.4490365982055664
Dataset D,0.6084589958190918,2.9634969234466557,0.0,9.846687316894533e-05,3.572054386138916
Dataset D,0.4932446479797363,2.936649799346924,0.0,0.0047791004180908,3.434673547744751
Dataset D,0.4450802803039551,2.499119758605957,0.0,9.131431579589844e-05,2.944291353225708
Dataset D,0.3935127258300781,2.998851537704468,0.0,8.869171142578125e-05,3.392452955245972
Dataset D,0.5684452056884766,2.7353339195251465,0.0,0.000115156173706,3.303894281387329
Dataset D,0.404740571975708,2.7654504776000977,0.0,9.202957153320312e-05,3.170283079147339
Dataset D,0.5319638252258301,3.0193932056427,0.0,8.749961853027344e-05,3.5514445304870605
Dataset D,0.4266951084136963,2.883152484893799,0.0,9.632110595703124e-05,3.309943914413452
Dataset C,0.6396915912628174,3.0854172706604004,13.127623319625854,0.6136829853057861,17.46641516685486
Dataset C,0.4257645606994629,3.326416492462158,10.09084677696228,0.6480538845062256,14.491081714630129
Dataset C,0.4872264862060547,2.779517412185669,11.808799028396606,0.5969443321228027,15.672487258911133
Dataset C,0.5391604900360107,2.914902448654175,10.126193284988403,0.6996579170227051,14.279914140701294
Dataset C,0.489964485168457,3.140487670898437,12.75390076637268,0.4756362438201904,16.859989166259766
Dataset C,0.5174853801727295,3.1284451484680176,11.200083255767822,0.6688549518585205,15.51486873626709
Dataset C,0.5338931083679199,3.260324716567993,12.951088190078735,0.5704996585845947,17.315805673599243
Dataset C,0.5811078548431396,3.2520666122436523,10.733762979507446,0.645068883895874,15.212006330490112
Dataset C,0.5509424209594727,3.1577534675598145,12.733307361602783,0.5779955387115479,17.019998788833618
Dataset C,0.4688260555267334,3.0337581634521484,12.331549167633057,0.3369426727294922,16.17107605934143
Dataset B,0.5490062236785889,3.234126329421997,12.376948833465576,0.6172850131988525,16.777366399765015
Dataset B,0.4767405986785888,2.922181844711304,15.130814552307127,0.43929123878479,18.96902823448181
Dataset B,0.5081312656402588,2.678180456161499,15.446202754974363,0.6017744541168213,19.234288930892944
Dataset B,0.5024077892303467,2.8801052570343018,12.527862548828123,0.6433529853820801,16.553728580474854
Dataset B,0.479719877243042,3.0735158920288086,10.875476837158203,0.6270036697387695,15.055716276168823
Dataset B,0.5312280654907227,3.105663776397705,14.663018703460692,0.5760293006896973,18.87593984603882
Dataset B,0.5789549350738525,3.2156639099121094,13.372864007949827,0.6084725856781006,17.77595543861389
Dataset B,0.4990491867065429,2.8909480571746826,15.41165828704834,0.5644431114196777,19.366098642349243
Dataset B,0.4634943008422851,3.040313959121704,13.120110511779783,0.456385850906372,17.080304622650146
Dataset B,0.4872729778289795,3.1992876529693604,14.873245239257812,0.5110681056976318,19.070873975753784
Dataset E,0.4886677265167236,2.6086392402648926,0.0,9.083747863769533e-05,3.097397804260254
Dataset E,0.5061485767364502,2.6141703128814697,0.0,8.845329284667969e-05,3.1204073429107666
Dataset E,0.4595561027526855,2.87947416305542,0.0,0.0001056194305419,3.3391358852386475
Dataset E,0.5606396198272705,2.7336959838867188,0.0,9.226799011230467e-05,3.2944278717041016
Dataset E,0.460529088973999,2.241771936416626,0.0,8.988380432128906e-05,2.7023909091949463
Dataset E,0.4241058826446533,2.475648164749145,0.0,0.000133991241455,2.899888038635254
Dataset E,0.6159079074859619,2.435615062713623,0.0,9.65595245361328e-05,3.051619529724121
Dataset E,0.4742941856384277,2.298774003982544,0.0,0.0001716613769531,2.773239850997925
Dataset E,0.4354829788208008,2.788125276565552,0.0,9.107589721679688e-05,3.2236993312835693
Dataset E,0.529461145401001,3.065723180770874,0.0,0.0001533031463623,3.5953376293182373
Dataset F,0.5652086734771729,4.371819496154785,29.678937911987305,0.8237709999084473,35.43973708152771
Dataset F,0.4712147712707519,3.552446126937866,27.657491207122803,1.1020383834838867,32.78319048881531
Dataset F,0.4565334320068359,3.940862894058228,27.854951858520508,0.9385058879852296,33.1908540725708
Dataset F,0.4367179870605469,3.78907322883606,26.959867238998413,0.996849775314331,32.18250823020935
Dataset F,0.3516252040863037,3.5201778411865234,28.78338861465454,1.0338833332061768,33.689074993133545
Dataset F,0.4153568744659424,3.818069458007813,24.77199125289917,1.2022552490234375,30.20767283439636
Dataset F,0.5242810249328613,4.025334358215332,27.249090671539307,1.132904052734375,32.931610107421875
Dataset F,0.4752886295318603,4.247455596923828,24.44539594650269,1.2757329940795898,30.443873167037964
Dataset F,0.5290887355804443,3.203928709030152,24.892055988311768,1.2456614971160889,29.87073493003845
Dataset F,0.5404698848724365,3.85685658454895,27.97946786880493,1.0990474224090576,33.475841760635376
